Date,Close,High,Low,Open,Volume,Return
2016-11-15,10747.900390625,10991.599609375,10686.25,10955.75,14480000,-0.014067158296066973
2016-11-16,10559.25,10907.25,10522.2001953125,10882.9501953125,14558000,-0.01755230173044331
2016-11-17,10595.650390625,10681.5498046875,10483.7998046875,10549.849609375,9710000,0.003447251521178085
2016-11-18,10751.4501953125,10794.25,10530.150390625,10609.5498046875,11564000,0.0147041284813767
2016-11-21,10642.099609375,10795.5498046875,10586.150390625,10785.900390625,10595000,-0.010170775472240545
2016-11-22,10693.849609375,10736.7001953125,10624.0,10725.7001953125,9466000,0.004862762227334505
2016-11-23,10934.2001953125,10962.599609375,10706.0,10752.7998046875,11999000,0.022475590616758856
2016-11-24,10762.4501953125,10898.099609375,10732.099609375,10894.9501953125,12597000,-0.01570759606849248
2016-11-25,11085.0,11116.599609375,10754.2998046875,10835.599609375,10879000,0.029969923096878404
2016-11-28,11110.25,11168.599609375,11054.150390625,11100.900390625,7768000,0.0022778529544429382
2016-11-29,11061.2998046875,11160.0498046875,11030.349609375,11139.4501953125,8570000,-0.004405859032200032
2016-11-30,11080.0498046875,11169.0,11054.25,11117.150390625,12134000,0.001695099159327862
2016-12-01,11132.0498046875,11215.4501953125,11076.0498046875,11103.25,7658000,0.004693119698613746
