date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/05/18 00:00:00+00,2019,5,18,chokepoint6,Strait of Hormuz,17,19,1,2,57,39,96,588436.275970966,505761.028883196,8936.32916583246,2422.08188448712,2408403.9921918,1105555.71590448,3513959.70809628,47422
2019/05/19 00:00:00+00,2019,5,19,chokepoint6,Strait of Hormuz,9,15,6,2,47,32,79,357289.905927441,359027.645043838,60634.1208779515,0,2974639.98631239,776951.67184923,3751591.65816162,47423
2019/05/20 00:00:00+00,2019,5,20,chokepoint6,Strait of Hormuz,12,18,4,4,60,38,98,406520.884375286,533243.756557722,9839.45095961596,0,2724794.38387914,949604.091892625,3674398.47577176,47424
2019/05/21 00:00:00+00,2019,5,21,chokepoint6,Strait of Hormuz,10,14,3,3,50,30,80,480821.221144008,302116.959382169,36803.8470470783,5703.37644553964,3796383.41260153,825445.404018794,4621828.81662032,47425
2019/05/22 00:00:00+00,2019,5,22,chokepoint6,Strait of Hormuz,14,11,5,3,47,33,80,414765.536252219,358250.513036198,40491.7109881887,11019.2781654571,1929591.05549147,824527.038442063,2754118.09393353,47426
2019/05/23 00:00:00+00,2019,5,23,chokepoint6,Strait of Hormuz,8,14,4,1,49,27,76,226414.252816626,195762.502259532,20418.2224542855,0,2267488.03034227,442594.977530444,2710083.00787272,47427
2019/05/24 00:00:00+00,2019,5,24,chokepoint6,Strait of Hormuz,20,17,6,3,53,46,99,636571.765453905,679260.238346616,38265.3657580979,0,2327808.66991093,1354097.36955862,3681906.03946955,47428
2019/05/25 00:00:00+00,2019,5,25,chokepoint6,Strait of Hormuz,14,17,1,1,61,33,94,500750.354494105,733290.622961027,811.417022869933,0,3516758.71189823,1234852.394478,4751611.10637623,47429
2019/05/26 00:00:00+00,2019,5,26,chokepoint6,Strait of Hormuz,17,24,3,1,71,45,116,550750.273812803,1047478.58525544,28483.4217242044,0,2953430.8087271,1626712.28079244,4580143.08951954,47430
2019/05/27 00:00:00+00,2019,5,27,chokepoint6,Strait of Hormuz,16,16,4,1,64,37,101,760889.05721966,445591.853809156,20000.6690278019,0,3416592.62995836,1226481.58005662,4643074.21001498,47431
2019/05/28 00:00:00+00,2019,5,28,chokepoint6,Strait of Hormuz,13,15,5,3,55,36,91,376051.619424736,365161.679967146,42314.4048956071,6333.37504400495,2553322.22955136,789861.079331493,3343183.30888286,47432
2019/05/29 00:00:00+00,2019,5,29,chokepoint6,Strait of Hormuz,14,19,6,1,55,40,95,527703.084850296,472867.881965806,35547.4338956584,0,2312717.25114436,1036118.40071176,3348835.65185612,47433
2019/05/30 00:00:00+00,2019,5,30,chokepoint6,Strait of Hormuz,13,20,1,2,70,36,106,384815.766135729,504266.615918161,17479.8132607269,2483.46486031001,3022815.613658,909045.660174927,3931861.27383293,47434
2019/05/31 00:00:00+00,2019,5,31,chokepoint6,Strait of Hormuz,17,19,6,0,52,42,94,703316.65445648,905716.557626278,35248.5254987552,0,1765313.6574046,1644281.73758151,3409595.39498611,47435
2019/06/01 00:00:00+00,2019,6,1,chokepoint6,Strait of Hormuz,15,21,4,2,50,42,92,446513.041654888,807539.066182918,14742.337639719,0,2149861.21412276,1268794.44547752,3418655.65960028,47436
