date,open,high,low,close,volume
2021-11-04,15380.95,15395.65,15365.0,15380.95,0
2021-11-08,15474.25,15534.7,15313.95,15529.1,0
2021-11-09,15542.05,15579.25,15487.8,15545.2,0
2021-11-10,15492.05,15562.2,15459.2,15517.55,0
2021-11-11,15497.25,15499.65,15352.05,15422.5,0
2021-11-12,15504.35,15591.2,15429.85,15577.0,0
2021-11-15,15625.75,15664.1,15558.3,15578.85,0
2021-11-16,15613.1,15626.5,15492.75,15495.95,0
2021-11-17,15487.15,15560.6,15437.05,15443.05,0
2021-11-18,15461.5,15502.15,15240.0,15288.05,0
2021-11-22,15333.9,15333.9,14847.5,14994.35,0
2021-11-23,14876.0,15136.55,14820.9,15103.3,0
2021-11-24,15159.95,15199.05,14998.15,14999.9,0
2021-11-25,15057.6,15166.25,14985.15,15163.25,0
2021-11-26,14990.85,15011.8,14674.75,14692.8,0
2021-11-29,14683.05,14749.1,14403.1,14644.75,0
2021-11-30,14662.05,14912.75,14610.15,14634.55,0
2021-12-01,14743.7,14821.9,14694.55,14799.0,0
2021-12-02,14808.8,14989.2,14792.05,14977.15,0
2021-12-03,15002.65,15054.35,14845.55,14862.8,0
2021-12-06,14876.25,14877.15,14600.2,14618.35,0
2021-12-07,14733.25,14881.45,14683.9,14838.9,0
2021-12-08,14945.3,15084.0,14943.4,15072.9,0
2021-12-09,15126.55,15140.7,15023.5,15119.6,0
2021-12-10,15103.65,15168.5,15069.95,15145.9,0
2021-12-13,15258.1,15279.5,15053.3,15075.8,0
2021-12-14,15005.5,15071.7,14948.1,15038.1,0
2021-12-15,15050.1,15075.3,14937.05,14942.3,0
2021-12-16,15072.95,15078.75,14891.9,14961.4,0
2021-12-17,14952.75,14962.05,14659.2,14675.5,0
2021-12-20,14523.5,14526.8,14128.5,14293.7,0
2021-12-21,14423.7,14584.85,14386.7,14470.7,0
2021-12-22,14542.7,14651.85,14522.75,14650.2,0
2021-12-23,14738.3,14778.7,14708.8,14737.65,0
2021-12-24,14813.9,14814.55,14605.4,14661.1,0
2021-12-27,14617.15,14745.5,14515.6,14737.8,0
2021-12-28,14809.5,14880.5,14805.4,14867.95,0
2021-12-29,14866.2,14922.2,14836.1,14845.4,0
2021-12-30,14856.1,14894.65,14817.35,14860.4,0
2021-12-31,14879.25,15022.3,14879.25,15000.45,0
2022-01-03,15030.5,15219.7,15030.5,15211.4,0
2022-01-04,15260.9,15332.8,15168.65,15320.65,0
2022-01-05,15329.75,15410.1,15265.8,15385.2,0
2022-01-06,15275.75,15315.15,15197.35,15288.2,0
2022-01-07,15333.45,15418.25,15255.65,15348.1,0
2022-01-10,15427.65,15502.0,15400.95,15495.95,0
2022-01-11,15497.5,15559.05,15463.0,15532.65,0
2022-01-12,15627.05,15678.25,15596.15,15657.15,0
2022-01-13,15710.3,15730.75,15629.5,15720.25,0
2022-01-14,15667.95,15754.3,15620.55,15715.0,0
2022-01-17,15731.35,15794.8,15718.95,15781.85,0
2022-01-18,15819.45,15833.95,15547.6,15579.85,0
2022-01-19,15580.4,15580.4,15403.8,15476.45,0
2022-01-20,15464.45,15485.7,15280.65,15376.8,0
2022-01-21,15252.9,15294.25,15069.65,15210.55,0
2022-01-24,15155.0,15164.75,14577.65,14686.5,0
2022-01-25,14577.55,14852.75,14412.05,14824.45,0
2022-01-27,14671.7,14735.45,14490.0,14704.75,0
2022-01-28,14773.05,14951.65,14701.7,14726.2,0
2022-01-31,14894.75,14975.6,14858.05,14922.15,0
2022-02-01,15073.15,15138.0,14851.3,15136.85,0
2022-02-02,15218.25,15304.0,15201.95,15300.6,0
2022-02-03,15289.15,15293.15,15102.1,15106.9,0
2022-02-04,15159.6,15188.15,15049.0,15077.3,0
2022-02-07,15065.05,15126.35,14796.85,14864.5,0
2022-02-08,14926.5,14954.2,14689.2,14836.9,0
2022-02-09,14942.75,15026.05,14926.6,15024.3,0
2022-02-10,15084.35,15133.95,14972.4,15096.0,0
2022-02-11,14988.95,14988.95,14862.2,14867.85,0
2022-02-14,14606.55,14638.6,14371.2,14378.05,0
2022-02-15,14469.0,14822.25,14348.8,14804.9,0
2022-02-16,14876.65,14935.3,14757.1,14762.55,0
2022-02-17,14857.1,14895.35,14725.3,14755.85,0
2022-02-18,14711.3,14814.45,14692.8,14703.7,0
2022-02-21,14638.35,14732.95,14498.7,14591.25,0
2022-02-22,14269.45,14526.95,14269.45,14481.7,0
2022-02-23,14581.05,14628.8,14482.35,14503.4,0
2022-02-24,14055.85,14179.05,13748.1,13759.15,0
2022-02-25,14018.1,14246.65,14017.65,14193.8,0
2022-02-28,14047.75,14318.95,13928.95,14304.7,0
2022-03-02,14161.7,14265.1,14104.85,14212.85,0
2022-03-03,14327.7,14363.75,14094.85,14142.15,0
2022-03-04,14020.2,14074.7,13828.6,13888.45,0
2022-03-07,13594.75,13636.9,13439.6,13576.75,0
2022-03-08,13504.75,13719.55,13423.95,13709.7,0
2022-03-09,13786.4,14037.25,13722.95,13994.4,0
2022-03-10,14313.2,14316.3,14079.9,14166.95,0
2022-03-11,14145.5,14268.1,14099.5,14230.85,0
2022-03-14,14248.9,14388.9,14189.45,14382.15,0
2022-03-15,14408.75,14433.4,14131.25,14199.3,0
2022-03-16,14392.55,14491.4,14369.9,14475.3,0
2022-03-17,14667.2,14756.55,14644.95,14732.9,0
2022-03-21,14773.05,14783.05,14591.05,14597.9,0
2022-03-22,14613.1,14736.15,14492.35,14733.5,0
2022-03-23,14806.6,14832.95,14660.8,14676.25,0
2022-03-24,14598.75,14744.45,14598.0,14682.2,0
2022-03-25,14763.9,14764.95,14590.85,14667.6,0
2022-03-28,14686.25,14692.05,14515.8,14672.5,0
2022-03-29,14744.05,14772.3,14690.0,14766.65,0
2022-03-30,14880.7,14924.45,14824.0,14874.1,0
2022-03-31,14925.55,14963.0,14871.25,14895.0,0
2022-04-01,14890.1,15110.8,14887.1,15098.05,0
2022-04-04,15192.8,15392.95,15192.8,15375.2,0
2022-04-05,15433.05,15477.55,15360.65,15370.5,0
2022-04-06,15318.15,15387.35,15295.1,15322.05,0
2022-04-07,15292.35,15360.95,15185.85,15215.3,0
2022-04-08,15271.35,15385.9,15203.25,15354.5,0
2022-04-11,15337.5,15386.7,15294.55,15336.0,0
2022-04-12,15281.85,15281.85,15078.8,15160.4,0
2022-04-13,15239.65,15284.5,15126.7,15132.55,0
2022-04-18,14942.6,14971.4,14821.7,14935.4,0
2022-04-19,15012.75,15040.7,14617.55,14639.95,0
2022-04-20,14807.15,14905.05,14748.55,14867.4,0
2022-04-21,14946.3,15067.35,14929.4,15064.9,0
2022-04-22,14948.1,15015.35,14876.15,14896.75,0
2022-04-25,14758.6,14768.75,14623.25,14697.1,0
2022-04-26,14818.8,14914.9,14786.35,14901.45,0
2022-04-27,14797.35,14825.25,14679.6,14755.2,0
2022-04-28,14886.5,14964.6,14766.0,14907.45,0
2022-04-29,14991.45,15011.1,14743.6,14789.55,0
2022-05-02,14647.25,14750.9,14618.15,14732.6,0
2022-05-04,14771.45,14796.45,14344.3,14408.4,0
2022-05-05,14542.15,14605.3,14366.15,14390.15,0
2022-05-06,14159.1,14204.5,14074.3,14170.85,0
2022-05-09,14002.75,14087.95,13879.8,13995.2,0
2022-05-10,13953.95,14067.8,13823.7,13830.4,0
